NSEG  ICALC  OUTSEG  IUPSEG  IPRIOR  WIDTH1  WIDTH2  MANNING_N  Bed_K_Param  Manning_n_Param
1  1  3  0  0  7.0  7.0  0.035  BedK_1  Manning_n_1
2  1  3  0  0  4.0  4.0  0.035  BedK_1  Manning_n_1
3  1  4  0  0  5.0  5.0  0.035  BedK_1  Manning_n_1
4  1  7  0  0  4.0  4.0  0.035  BedK_2  Manning_n_2
5  1  7  3  -2  5.0  5.0  0.035  BedK_2  Manning_n_2
6  1  7  0  0  3.0  3.0  0.035  BedK_2  Manning_n_2
7  1  9  0  0  12.0  12.0  0.035  BedK_2  Manning_n_2
8  1  25  7  -2  12.0  12.0  0.035  BedK_2  Manning_n_2
9  1  11  0  0  6.0  6.0  0.035  BedK_2  Manning_n_2
10  1  11  0  0  7.0  7.0  0.035  BedK_1  Manning_n_1
11  1  24  0  0  8.0  8.0  0.035  BedK_3  Manning_n_3
12  1  16  0  0  6.0  6.0  0.035  BedK_1  Manning_n_1
13  1  15  0  0  7.0  7.0  0.035  BedK_1  Manning_n_1
14  1  15  0  0  8.0  8.0  0.035  BedK_1  Manning_n_1
15  1  16  0  0  8.0  8.0  0.035  BedK_1  Manning_n_1
16  1  18  0  0  8.0  8.0  0.035  BedK_2  Manning_n_2
17  1  18  0  0  8.0  8.0  0.035  BedK_1  Manning_n_1
18  1  23  0  0  6.0  6.0  0.035  BedK_2  Manning_n_2
19  1  20  0  0  10.0  10.0  0.035  BedK_2  Manning_n_2
20  1  45  0  0  10.0  10.0  0.035  BedK_2  Manning_n_2
21  1  22  19  -2  6.0  6.0  0.035  BedK_2  Manning_n_2
22  1  23  0  0  10.0  10.0  0.035  BedK_2  Manning_n_2
23  1  24  0  0  10.0  10.0  0.035  BedK_3  Manning_n_3
24  1  25  0  0  10.0  10.0  0.035  BedK_3  Manning_n_3
25  1  27  0  0  10.0  10.0  0.035  BedK_3  Manning_n_3
26  1  44  21  -2  5.0  5.0  0.035  BedK_2  Manning_n_2
27  1  49  0  0  4.0  4.0  0.035  BedK_1  Manning_n_1
28  1  30  0  0  7.0  7.0  0.035  BedK_1  Manning_n_1
29  1  30  0  0  6.0  6.0  0.035  BedK_1  Manning_n_1
30  1  43  0  0  10.0  10.0  0.035  BedK_1  Manning_n_1
31  1  41  0  0  4.0  4.0  0.035  BedK_1  Manning_n_1
32  1  36  0  0  6.0  6.0  0.035  BedK_2  Manning_n_2
33  1  35  0  0  4.0  4.0  0.035  BedK_1  Manning_n_1
34  1  38  33  -2  4.0  4.0  0.035  BedK_2  Manning_n_2
35  1  36  0  0  4.0  4.0  0.035  BedK_2  Manning_n_2
36  1  39  0  0  4.0  4.0  0.035  BedK_2  Manning_n_2
37  1  38  0  0  4.0  4.0  0.035  BedK_2  Manning_n_2
38  1  39  0  0  4.0  4.0  0.035  BedK_2  Manning_n_2
39  1  41  0  0  12.0  12.0  0.035  BedK_2  Manning_n_2
40  1  42  36  -2  9.0  9.0  0.035  BedK_2  Manning_n_2
41  1  42  0  0  9.0  9.0  0.035  BedK_2  Manning_n_2
42  1  43  0  0  3.0  3.0  0.035  BedK_2  Manning_n_2
43  1  44  0  0  20.0  20.0  0.035  BedK_3  Manning_n_3
44  1  48  0  0  60.0  60.0  0.035  BedK_3  Manning_n_3
45  1  47  0  0  12.0  12.0  0.035  BedK_2  Manning_n_2
46  1  47  20  -2  8.0  8.0  0.035  BedK_2  Manning_n_2
47  1  48  0  0  5.0  5.0  0.035  BedK_2  Manning_n_2
48  1  49  0  0  60.0  60.0  0.035  BedK_3  Manning_n_3
49  1  51  0  0  60.0  60.0  0.035  BedK_3  Manning_n_3
50  1  51  0  0  5.0  5.0  0.035  BedK_3  Manning_n_3
51  1  0  0  0  18.0  18.0  0.035  BedK_3  Manning_n_3
