well_id  well_name  top_scrn_z  bot_scrn_z  row_MF  col_MF  UTM_E  UTM_N
1  DMS_039  1496.14  1339.17  154  46  726328.03  4389360.52
36  21N14E36Q002M  1497.67  1426.95  156  48  726640.09  4389313.69
43  DMS_037  1489.13  1278.82  132  110  732221.61  4397629.66
55  DMS_031  1500.73  1259.93  153  129  736448.3  4396579.29
56  DMS_030  1496.78  1408.39  157  128  736645.89  4396036.58
58  DMS_029  1499.83  1346.21  154  122  735610.98  4395824.24
66  DMS_036  1471.46  1447.08  150  139  737430  4397833
67  DMS_035  1511.72  1453.8  155  141  738082.01  4397422
68  DMS_033  1459.58  1413.86  152  135  737037  4397218
70  DMS_034  1463.86  1438.26  157  135  737553.01  4396623
71  DMS_032  1503.18  1378.21  154  131  736688.44  4396573.12
83  DMS_043  1535.76  1422.07  66  68  721391.27  4402013.05
90  DMS_044  1487.89  1247.1  87  76  724203  4400229.99
94  DMS_002_old  1347.01  1205.28  80  145  732079.98  4406941.92
95  DMS_001  1488.81  1235.82  83  152  733165.29  4407108.87
100  DMS_020  1359.89  1266.92  108  150  735012.93  4403925.13
118  DMS_023_and_024  1486.07  1245.28  118  125  732839  4400494.99
121  DMS_025  1485.47  1225.47  122  121  732802.29  4399730.31
127  DMS_026  1491.57  1353.8  135  140  736163.85  4399783.6
128  DMS_022  1494.62  1261.45  138  141  736553.69  4399396.7
129  DMS_027  1412.01  1252.29  135  131  735114.72  4398967.74
130  DMS_028  1451.33  1369.04  139  137  736188  4398984.33
136  DMS_016  1317.52  1248.33  99  177  737682.28  4407367.33
137  DMS_017  1320.27  1258.39  103  173  737388  4406549
138  DMS_018  1445.85  1380.31  111  175  738427  4405658
140  DMS_041  1494.61  1250.77  112  174  738318  4405522.99
142  DMS_019  1491.57  1326.97  117  163  737497.01  4403934.99
143  DMS_042  1451.94  1400.13  118  163  737486.01  4403795
145  DMS_021_and_040  1489.46  1414.48  121  154  736694  4402730
165  DMS_046  1459.85  1415.35  42  150  729400.54  4412089.43
166  DMS_010  1401.03  1257.17  82  197  738685.98  4411143.77
167  DMS_008  1341.6  1256.25  63  172  733905  4411403
168  DMS_007_old  1359.58  1261.13  72  172  734699.42  4410268.44
171  DMS_003  1488.49  1436.68  41  143  728397  4411563
173  DMS_004  1486.05  1276.96  48  136  728244  4410094
178  DMS_009  1375.12  1245.89  79  173  735499.01  4409495
181  DMS_045  1500.71  1259.92  68  189  736528.89  4412199.18
188  DMS_013_old  1387.59  1244.33  76  182  736262.01  4410710
189  DMS_011  1416.89  1289.79  72  189  736686.01  4411749.99
190  DMS_012  1353.79  1255.04  84  190  737883.14  4410344.94
192  DMS_047  1335.81  1240.11  93  194  739157.76  4409515.16
193  DMS_014  1340.99  1250.77  95  190  738872.44  4409051
250  DMS_038  1495.38  1254.59  136  94  730567  4395689.99
251  DMS_048  1510.56  1269.77  165  124  736737.33  4394744.92
252  DMS_049  1488.09  1247.3  75  142  731173.2  4407324.06
253  DMS_005  1517.85  1277.06  51  176  733416  4413216
255  DMS_051  1495.02  1254.23  133  26  721970  4390199
256  DMS_052  1479.16  1399.91  47  137  728246  4410340.99
258  DMS_054  1485.27  1244.47  77  139  731121.12  4406819.61
259  DMS_055  1486.61  1245.82  104  141  733617.84  4403577.4
260  DMS_056  1327.09  1192.98  57  163  732351.27  4411358.04
261  DMS_057  1357.16  1258.71  61  169  733320.83  4411382.87
262  DMS_058  1490.6  1249.8  125  62  725762.25  4394285.36
263  DMS_059  1505.11  1264.32  154  134  737043.54  4396942.62
264  DMS_006  1510.01  1269.22  49  173  732864  4413239.99
265  DMS_060  1494.3  1253.51  126  30  721982.42  4391398.17
266  DMS_061  1502.2  1261.41  78  200  738680.93  4411934.55
267  DMS_062  1485.58  1244.79  47  138  728340.03  4410321.99
268  DMS_063  1386.48  1331.62  43  142  728493.35  4411253.64
269  21N14E32G001M  1505.59  1264.79  126  17  720295.38  4390362.86
276  DMS_071  1369.2  1253.37  125  135  734743.97  4400582.08
278  22N14E14F002M  1492.01  1251.21  64  92  724155.05  4404287.09
288  DMS_083  1500.38  1259.59  155  49  726705.97  4389538.94
373  DMS_084  1507.85  1419.45  134  153  737650.26  4400994.27
376  016-010-005_Well_2  1492  1483.16  124  118  732501.5  4399150.31
403  DMS_007  1492.91  1252.12  72  172  734689.44  4410289.25
1336  WCR1992-004594  1444.03  1427.27  107  40  721450.69  4394573.22
1399  DMS_050  1332.93  1267.4  133  112  732566.38  4397644.41
1464  DMS_053  1437.47  1388.39  151  126  735842.16  4396553.11
1603  DMS_066  1523.22  1334.24  181  127  738461.91  4393030.8
1641  DMS_013  1352.88  1194.39  75  182  736192.48  4410690.72
1649  DMS_065  1438.81  1329.08  148  128  735813.3  4397183.12
1650  DMS_064  1292.19  1121.5  99  163  735960.81  4406179.3
1664  DMS_067  1407.25  1285.33  140  142  736823.68  4399301.91
1665  DMS_068  1404.67  1282.75  125  161  737883.47  4402765.68
1677  DMS_069  1333.76  1193.55  85  190  738020.41  4410251.76
1678  DMS_002  1293.35  1171.43  80  145  732079.98  4406941.92
1679  DMS_070  1336.58  1196.37  89  196  739099.78  4410197.17
1682  DMS_072  1463.84  1412.03  44  153  729889.37  4412106.11
1697  DMS_073  1369.71  1220.36  105  152  735144.79  4404472.19
