SWBM_id	subws_ID	SWBM_LU	SWBM_IRR	MF_Area_m2	WATERSOURC	AWCcmprcm	Initial_fill_fraction	max_infil_rate	runoff_ISEG	WL_2_CP_Yr	ILR_Flag	Notes
1	8	4	555	135000	3	0.07	0.5	0.004	21	0	FALSE	
2	7	4	555	67500	3	0.12	0.5	0.004	27	0	FALSE	
3	7	9	555	90000	3	0.12	0.5	0.004	27	0	FALSE	
4	5	4	555	90000	3	0.15	0.5	0.004	30	0	FALSE	
5	7	4	555	22500	3	0.15	0.5	0.004	27	0	FALSE	
6	7	1	2	135000	3	0.12	0.5	0.004	27	2011	FALSE	
7	1	9	555	247500	3	0.07	0.5	0.004	26	0	FALSE	
8	10	7	555	22500	3	0.07	0.5	0.004	17	0	FALSE	
9	1	9	555	202500	1	0.09	0.5	0.004	41	0	FALSE	
10	4	4	555	45000	3	0.09	0.5	0.004	30	0	FALSE	
11	1	4	555	157500	3	0.09	0.5	0.004	7	0	FALSE	
12	8	3	1	22500	1	0.12	0.5	0.004	46	0	FALSE	
13	7	4	555	90000	3	0.12	0.5	0.004	27	0	FALSE	
14	10	9	555	450000	3	0.12	0.5	0.004	16	0	FALSE	
15	9	4	555	45000	3	0.08	0.5	0.004	22	0	FALSE	
16	10	9	555	135000	3	0.13	0.5	0.004	22	0	FALSE	
17	8	9	555	22500	3	0.12	0.5	0.004	26	0	FALSE	
18	1	9	555	45000	3	0.11	0.5	0.004	43	0	FALSE	
19	4	4	555	202500	3	0.06	0.5	0.004	30	0	FALSE	
20	3	3	1	90000	1	0.17	0.5	0.004	32	0	FALSE	
21	2	4	555	45000	3	0.1	0.5	0.004	37	0	FALSE	
22	8	4	555	45000	3	0.05	0.5	0.004	21	0	FALSE	
23	4	3	1	112500	1	0.13	0.5	0.004	31	0	FALSE	
24	7	9	555	22500	1	0.12	0.5	0.004	45	0	FALSE	
25	1	4	555	540000	3	0.12	0.5	0.004	10	0	FALSE	
26	8	1	3	202500	3	0.05	0.5	0.004	45	0	FALSE	
27	8	4	555	22500	3	0	0.5	0.004	45	0	FALSE	
28	8	1	3	337500	3	0.09	0.5	0.004	45	0	FALSE	
29	9	4	555	90000	3	0.07	0.5	0.004	21	0	FALSE	
30	8	1	3	67500	2	0.08	0.5	0.004	22	0	FALSE	
31	8	1	3	112500	3	0.13	0.5	0.004	20	0	FALSE	
32	7	4	555	22500	3	0.12	0.5	0.004	27	0	FALSE	
33	10	4	555	225000	3	0.09	0.5	0.004	16	0	FALSE	
34	10	9	555	270000	3	0.14	0.5	0.004	17	0	FALSE	
35	1	9	555	135000	1	0.13	0.5	0.004	40	0	FALSE	
36	10	4	555	112500	3	0.12	0.5	0.004	22	0	FALSE	
37	1	1	3	135000	3	0.12	0.5	0.004	6	0	FALSE	
38	8	7	555	45000	3	0.08	0.5	0.004	26	0	FALSE	
39	8	7	555	180000	3	0.09	0.5	0.004	45	0	FALSE	
40	8	4	555	45000	3	0.13	0.5	0.004	46	0	FALSE	
41	8	9	555	45000	3	0.05	0.5	0.004	19	0	FALSE	
42	10	4	555	405000	3	0.13	0.5	0.004	13	0	FALSE	
43	1	7	555	225000	3	0.09	0.5	0.004	30	0	FALSE	
44	1	3	1	45000	1	0.13	0.5	0.004	6	0	FALSE	
45	1	9	555	90000	3	0.06	0.5	0.004	23	0	FALSE	
46	7	5	555	22500	3	0.12	0.5	0.004	27	0	FALSE	
47	1	3	1	45000	1	0.13	0.5	0.004	6	0	FALSE	
48	6	4	555	22500	3	0.15	0.5	0.004	49	0	FALSE	
49	1	4	555	90000	3	0.09	0.5	0.004	6	0	FALSE	
50	10	9	555	157500	3	0.12	0.5	0.004	16	0	FALSE	
