modelMonth	Cold Stream	Hamlin Creek	Turner Creek	Fletcher Creek	Carman Creek	Big Grizzly Creek	Mapes Creek	Little Last Chance Creek	Correco Canyon	Bear Valley Creek-Smithneck Creek	Lemon Creek
Oct-1999	1186499.29888687	105430.121915236	31953.9909216275	19872.9737361495	30777.465655945	72480.8594646201	17358.0163274784	427699.181567993	0	290816.062885994	64926.3018969438
Nov-1999	411394.798698559	48158.7317689234	29637.5509122264	5794.83104769402	30878.2767063008	14981.701315137	15626.0381993901	46473.8489775679	0	242977.418740638	61003.5275281965
Dec-1999	287244.361990899	35993.2857875049	19454.6488572747	4508.37390661679	24372.7528309741	5564.6319170509	10152.4520044061	71982.0517998421	0	193947.171098721	49693.2983488462
Jan-2000	1180309.57379222	107039.377483031	525288.791806245	138136.539310825	247661.241307444	0	129884.954831841	0	0	640586.667784237	239476.555927135
Feb-2000	4227767.12229185	380337.4499571	879821.027640048	407642.878325457	1909050.16791308	0	440345.488853084	0	0	2809940.97420054	1422393.44037469
Mar-2000	834063.720048592	115354.572866257	148636.089107369	48053.5878373595	199498.343024293	0	53091.5616669545	0	0	591802.706884102	198845.328160794
Apr-2000	4983421.70649263	276507.147176671	247213.887837076	100970.023791792	220757.175725689	0	86283.1516620557	234815.236939291	0	2546234.12206248	699389.784038941
May-2000	10065676.6702032	405560.665898337	255830.576887245	80772.0570527287	90889.0361917275	29351.9046174113	48823.2332937842	3365685.0627965	0	4103991.01862964	1217845.15733108
Jun-2000	11737892.8765413	730755.315378582	379556.741096484	137730.767799245	48915.4177268956	78271.7456464302	22787.3268865373	4155740.49541515	0	2709949.42557065	673388.085618737
Jul-2000	3928872.35920777	343498.261471852	96415.7056863006	72626.5413099927	37025.1696432364	229923.252836389	13961.0619260535	3808409.62410912	0	646719.458673017	100954.940667767
Aug-2000	1560221.17893639	130261.29162077	30733.8432550751	10734.7193095227	29089.3447997576	342438.887203132	10359.8822699896	3798625.65590331	0	427049.718695048	72697.0662302101
Sep-2000	459366.824788943	35990.3694722028	11947.1651635155	3302.19617326496	23085.3806715051	44761.6545415523	7962.51451095436	1041992.6139181	0	186818.827966824	54846.1290057681
Oct-2000	332080.236275545	28163.3730995874	18287.0682633578	2514.13536006252	25215.8664352239	0	7668.97710018774	247045.197196545	0	169383.754368577	47672.4215128544
Nov-2000	176084.111103875	18015.7848827825	14658.2619022673	2232.25587078469	23429.6771372828	0	8415.5856229842	0	0	131533.406949514	38551.5157370727
Dec-2000	126250.127454006	13966.0284697307	9870.65080547194	2177.67282179942	20082.2536111025	0	6822.83219169354	0	0	112173.06370435	32681.2813021206
Jan-2001	85178.3085457331	9581.64689491911	9204.32413697412	1754.53064021498	15970.5083718678	0	4011.50424044378	0	0	91567.1675761085	26212.9893783608
Feb-2001	60256.8358219099	6030.37488637876	22424.5930448227	1756.46587964785	17964.9622168672	0	3901.30568856595	0	0	71239.5740470682	20324.6698740185
Mar-2001	346380.312515751	28961.4844356599	103914.43798758	15082.4487706253	53548.4347537994	0	49322.9703437945	0	0	240851.652416699	49037.7219231651
Apr-2001	3467926.88346769	54283.9578532452	101567.070845852	10448.6708594438	41727.0699397135	0	36757.3726295282	36689.8807717641	0	377760.863368512	74785.4464684678
May-2001	5506023.43407617	76348.5670046751	55646.2269593116	5862.45188547545	25201.3240038851	269059.125659604	12228.9883816088	4852848.23007867	0	418578.084525707	75690.9966218034
Jun-2001	1681086.82228908	39173.0872412905	21656.7971977675	2739.00479970097	14920.3926523516	66041.7853891755	5008.64186302022	3911141.29027006	0	198968.080079967	51846.6938243847
Jul-2001	549965.320494266	28896.1266781255	9757.02460448482	1571.51228242063	10509.8523164575	425602.616952464	3079.82957805107	2044849.35501299	0	149633.786995217	39435.761130634
Aug-2001	608905.557855511	37109.9678717361	4831.49038785548	955.736710208497	7266.45219129711	105177.658212391	1871.12208796903	2277218.59990083	0	165508.093660714	25365.1710137705
Sep-2001	408338.874587636	18857.6360552405	6054.84795849887	717.995848754201	6219.0448283576	209621.518809346	1573.66771344511	244599.205145094	0	126709.371270321	16973.7159426528
Oct-2001	132576.334636851	6781.65636406369	7859.25199421204	746.840947254259	6615.50957533265	0	2375.47582168332	146759.523087057	0	77068.0552631057	14647.6951524436
Nov-2001	386504.355863139	29648.2155249797	73935.1888703571	4308.37877710982	26557.2736112724	0	40520.5888312799	0	0	154928.144574356	26994.4713561208
Dec-2001	439577.910751047	39511.9205090231	176268.078732086	29606.9467275667	102664.591368467	0	46985.3748155867	0	0	176405.177356738	69193.3971972011
Jan-2002	584175.223666065	60845.1583957955	144652.086796716	32527.1985660362	124563.80482915	0	59418.1945535429	0	0	269232.667778574	110127.657525053
Feb-2002	368009.279942913	43452.1756435705	70042.2749280045	22459.9704938737	110611.401325794	0	30102.4976907633	0	0	173215.528445661	97183.1810322613
Mar-2002	829410.208077656	75048.1179112381	180293.56758517	61116.6399488032	283420.661605507	0	94006.6555400442	0	0	365153.331388912	305216.637015181
Apr-2002	2542593.36844375	121567.645609335	158994.185378893	69562.1349296469	142353.10064081	0	62469.6438820095	14675.9523087057	0	663924.573959286	316456.360846899
May-2002	6456055.97347931	137282.252206588	153195.063041736	42319.4024471396	73234.2382973662	75825.7535949793	34722.4500165653	3681218.03743367	0	1188500.24838382	395924.834745871
Jun-2002	8841183.20675413	363809.137565943	197527.026422425	32771.1904221188	42614.8702041926	68487.7774406264	18561.4832576802	3470862.72100889	0	1580560.22648925	437326.13367238
Jul-2002	4912593.29670196	463019.524719168	162006.083404361	88045.5406955177	33041.5538911558	291073.054122662	10857.4320835233	2098661.18014491	0	891019.749350837	106211.701755926
Aug-2002	1061346.55613868	93399.2423551666	27145.6304371834	4839.26070446585	26513.5631337658	244599.205145094	7197.38298215757	2113337.13245362	0	319307.049268435	71346.4501524861
Sep-2002	425061.645513058	36976.5733589695	10495.6108136272	2890.78041722002	21261.3600115533	117407.618469645	4670.89976695257	613944.004914187	0	171352.832355931	54145.6432816929
